Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_Pace,Opp_ORtg,Opp_FTr,Opp_3PAr,Opp_TS_Pct,Opp_TRB_Pct,Opp_AST_Pct,Opp_STL_Pct,Opp_BLK_Pct,Opp_eFG_Pct,Opp_TOV_Pct,Opp_ORB_Pct,Opp_FTperFGA
13,Arkansas,36,22,14,0.611,15.99,9.87,8.0,10.0,14,3,2,8,2666,2446,70.2,96.4,0.395,0.305,0.516,48.3,45.1,9.5,6.9,0.472,18.0,27.9,0.282
14,Arkansas State,33,13,20,0.394,-8.07,-3.3,4.0,14.0,10,8,2,11,2169,2232,64.8,103.9,0.346,0.336,0.54,49.7,48.6,9.3,9.3,0.5,15.6,27.6,0.257
15,Arkansas-Pine Bluff,31,10,21,0.323,-12.99,-5.36,6.0,12.0,8,5,2,16,2074,2162,71.3,97.0,0.411,0.357,0.535,51.3,59.2,11.8,10.3,0.495,19.8,27.5,0.29
16,Army,33,17,16,0.515,-7.13,-7.58,10.0,8.0,10,5,7,8,2412,2322,68.1,102.5,0.282,0.384,0.536,47.0,52.6,10.0,9.0,0.51,14.1,23.5,0.196
17,Auburn,34,21,13,0.618,14.35,9.29,10.0,8.0,14,2,4,8,2474,2302,68.7,98.3,0.389,0.345,0.502,49.6,48.2,10.2,9.1,0.457,16.2,32.4,0.276
18,Austin Peay,31,9,22,0.29,-12.17,-2.6,3.0,15.0,7,8,1,13,2067,2241,66.8,107.8,0.363,0.356,0.574,52.9,53.6,9.2,7.3,0.539,17.7,30.6,0.269
19,Ball State,32,20,12,0.625,-1.2,-3.5,11.0,7.0,12,2,6,7,2445,2292,68.5,104.1,0.3,0.33,0.536,47.9,37.2,9.0,7.0,0.503,14.8,27.7,0.218
20,Baylor,34,23,11,0.676,17.3,10.54,11.0,7.0,14,3,5,5,2619,2389,67.8,103.3,0.313,0.379,0.547,48.5,60.0,9.0,9.0,0.516,17.4,30.9,0.225
21,Bellarmine,33,15,18,0.455,-7.42,-1.35,9.0,9.0,8,6,6,12,2187,2216,62.8,106.1,0.303,0.518,0.564,52.0,58.7,8.6,6.8,0.536,16.7,27.1,0.218
22,Belmont,32,21,11,0.656,1.88,-1.93,14.0,6.0,12,2,7,7,2447,2299,69.0,103.3,0.289,0.34,0.533,51.6,49.3,8.3,10.0,0.51,15.9,29.8,0.193
23,Bethune-Cookman,32,12,20,0.375,-17.15,-7.82,8.0,10.0,8,5,3,13,2172,2401,69.5,107.5,0.344,0.368,0.554,53.8,52.2,10.3,9.5,0.519,16.8,33.9,0.252
24,Binghamton,31,13,18,0.419,-10.44,-5.51,8.0,8.0,8,7,5,11,2133,2217,67.0,105.0,0.347,0.346,0.533,49.0,41.2,10.8,7.7,0.494,13.8,28.0,0.253
25,Boise State,34,24,10,0.706,12.78,6.21,13.0,5.0,14,1,6,6,2451,2198,66.8,95.8,0.273,0.371,0.503,47.4,45.4,7.7,9.0,0.473,15.5,23.8,0.192
26,Boston College,33,16,17,0.485,1.09,4.73,9.0,11.0,9,7,4,7,2197,2317,66.7,104.4,0.276,0.395,0.544,50.7,49.0,9.9,8.5,0.515,16.0,28.3,0.2
27,Boston University,32,15,17,0.469,-8.1,-6.52,8.0,10.0,9,4,6,11,2147,2151,66.3,99.9,0.358,0.392,0.533,48.7,49.5,9.2,11.0,0.5,16.4,24.3,0.247
28,Bowling Green State,31,11,20,0.355,-8.46,-3.81,5.0,13.0,7,9,4,11,2355,2434,71.2,110.2,0.332,0.381,0.566,49.2,52.1,8.4,9.0,0.534,14.2,27.6,0.242
29,Bradley,35,25,10,0.714,6.51,-0.67,16.0,4.0,15,1,8,6,2473,2195,65.9,94.8,0.316,0.387,0.509,47.2,48.8,9.6,7.0,0.467,17.0,23.9,0.237
30,Brigham Young,34,19,15,0.559,9.43,5.4,7.0,9.0,12,4,2,7,2568,2376,70.9,98.2,0.375,0.378,0.531,46.0,50.2,10.2,7.3,0.496,17.2,23.9,0.261
31,Brown,27,14,13,0.519,-2.47,-2.69,7.0,7.0,7,5,7,8,1878,1872,69.9,98.7,0.269,0.371,0.539,49.7,47.2,9.7,8.8,0.512,17.7,23.7,0.191
32,Bryant,30,17,13,0.567,-3.59,-4.52,8.0,8.0,9,4,7,8,2381,2193,73.0,99.7,0.308,0.389,0.517,46.4,55.7,9.5,7.9,0.485,14.9,24.8,0.216
33,Bucknell,32,12,20,0.375,-9.93,-6.96,5.0,13.0,7,7,3,13,2161,2192,66.4,102.4,0.274,0.361,0.525,48.5,55.6,11.5,9.2,0.506,13.7,24.8,0.176
34,Buffalo,32,15,17,0.469,-2.97,0.67,9.0,9.0,11,4,3,9,2481,2485,74.2,104.3,0.351,0.358,0.548,48.2,53.2,8.8,8.0,0.516,16.5,27.9,0.247
35,Butler,32,14,18,0.438,5.85,8.54,6.0,14.0,10,6,3,10,2088,2174,67.2,101.1,0.226,0.332,0.524,54.8,52.5,10.2,9.3,0.501,16.2,30.4,0.159
36,Cal Poly,33,8,25,0.242,-7.51,-0.54,1.0,18.0,6,11,1,13,2006,2174,65.1,100.5,0.411,0.361,0.538,49.7,51.0,9.5,8.8,0.495,16.8,24.7,0.297
37,Cal State Bakersfield,33,11,22,0.333,-8.34,-1.47,6.0,14.0,6,8,3,12,1995,2134,63.4,100.4,0.423,0.424,0.542,50.3,53.3,9.1,6.1,0.5,18.4,28.0,0.303
38,Cal State Fullerton,33,20,13,0.606,1.73,-0.27,12.0,6.0,11,2,7,8,2283,2148,65.5,96.5,0.326,0.389,0.513,51.0,49.3,8.9,8.6,0.477,18.2,28.9,0.232
39,Cal State Northridge,32,7,25,0.219,-10.4,-1.74,4.0,16.0,7,8,0,14,2028,2194,65.7,104.0,0.385,0.379,0.536,51.4,53.9,8.2,7.4,0.49,15.8,30.0,0.289
40,California,32,3,29,0.094,-3.36,8.43,2.0,18.0,3,14,0,12,1866,2243,64.3,108.1,0.326,0.383,0.548,53.0,51.6,8.9,11.1,0.516,14.0,30.4,0.234
41,California Baptist,33,17,16,0.515,0.21,-0.69,7.0,10.0,12,5,4,8,2291,2156,65.9,98.4,0.289,0.327,0.509,47.7,46.2,8.3,8.1,0.474,14.5,25.1,0.21
42,Campbell,34,16,18,0.471,-5.23,-4.89,8.0,10.0,8,6,4,10,2374,2329,64.6,104.1,0.312,0.415,0.552,50.4,48.9,9.2,10.5,0.526,16.6,27.1,0.217
43,Canisius,30,10,20,0.333,-7.05,-3.46,8.0,12.0,7,7,3,12,2111,2169,67.5,104.9,0.274,0.317,0.549,51.6,49.1,9.1,8.9,0.525,16.7,30.0,0.191
44,Central Arkansas,31,9,22,0.29,-13.72,-3.15,4.0,14.0,6,8,2,13,2261,2527,72.7,110.7,0.291,0.392,0.566,51.8,46.8,9.9,9.0,0.541,14.7,30.1,0.205
45,Central Connecticut State,32,10,22,0.313,-13.68,-9.49,7.0,9.0,6,7,4,14,2111,2245,65.7,105.6,0.264,0.372,0.543,50.5,56.5,10.1,9.0,0.513,14.5,28.2,0.197
46,Central Florida,34,19,15,0.559,11.09,5.09,8.0,10.0,11,6,5,7,2432,2228,66.1,96.6,0.334,0.388,0.518,48.7,53.4,9.9,8.5,0.48,19.0,30.7,0.242
47,Central Michigan,31,10,21,0.323,-11.97,-2.62,5.0,13.0,6,8,3,12,2038,2263,69.0,105.4,0.396,0.418,0.542,50.2,51.9,12.0,8.2,0.51,16.6,31.7,0.268
48,Charleston Southern,31,10,21,0.323,-9.44,-4.47,5.0,13.0,6,8,3,12,2251,2305,67.1,110.3,0.354,0.403,0.565,49.0,51.1,8.2,8.1,0.532,14.6,29.4,0.255
49,Charlotte,36,22,14,0.611,3.9,-0.46,9.0,11.0,11,4,5,8,2410,2253,61.5,100.0,0.24,0.38,0.529,50.2,41.5,8.7,8.9,0.502,15.9,24.4,0.175
50,Chattanooga,35,18,17,0.514,-2.34,-3.34,7.0,11.0,9,7,6,9,2702,2523,68.9,104.3,0.279,0.425,0.531,48.3,45.5,9.0,8.6,0.494,13.4,25.8,0.214
51,Chicago State,31,11,20,0.355,-11.29,-3.51,,,8,0,3,20,2180,2264,66.8,108.9,0.326,0.381,0.55,48.8,55.5,10.0,11.1,0.521,14.8,31.6,0.228
52,Cincinnati,36,23,13,0.639,11.77,4.97,11.0,7.0,16,3,5,7,2776,2495,69.9,98.5,0.288,0.312,0.512,48.2,50.8,7.5,7.3,0.476,15.2,27.1,0.213
53,Clemson,34,23,11,0.676,10.53,3.71,14.0,6.0,15,2,5,6,2540,2308,68.1,99.0,0.307,0.408,0.511,48.5,49.5,8.2,7.6,0.473,14.5,24.3,0.226
54,Cleveland State,35,21,14,0.6,-2.6,-5.05,14.0,6.0,13,3,7,9,2512,2405,66.5,101.6,0.302,0.378,0.52,50.1,49.8,9.1,8.9,0.484,17.4,35.1,0.221
55,Coastal Carolina,31,11,20,0.355,-8.93,-1.75,5.0,13.0,8,8,3,11,2273,2294,69.1,106.3,0.275,0.454,0.536,48.8,55.3,9.5,8.5,0.507,14.3,29.9,0.197
56,Colgate,35,26,9,0.743,2.2,-5.86,17.0,1.0,14,2,11,4,2733,2426,68.2,101.7,0.199,0.366,0.539,48.3,54.5,8.8,8.2,0.521,16.1,24.2,0.137
57,College of Charleston,35,31,4,0.886,8.4,-4.02,16.0,2.0,17,1,11,2,2804,2353,70.7,94.4,0.248,0.322,0.505,45.7,45.7,7.9,11.2,0.48,17.1,25.4,0.168
58,Colorado,35,18,17,0.514,11.17,8.39,8.0,12.0,13,5,2,9,2445,2348,69.6,96.4,0.314,0.341,0.515,47.5,46.7,10.2,10.4,0.48,17.1,25.1,0.226
59,Colorado State,33,15,18,0.455,5.64,5.86,6.0,12.0,9,7,4,8,2391,2355,66.4,106.3,0.296,0.435,0.555,51.9,51.1,8.5,9.7,0.524,15.9,27.0,0.218
60,Columbia,29,7,22,0.241,-14.37,-2.37,2.0,12.0,6,9,1,13,1966,2197,70.6,106.4,0.278,0.354,0.541,53.4,54.6,9.4,12.2,0.516,15.7,32.9,0.195
61,Connecticut,39,31,8,0.795,22.95,8.51,13.0,7.0,15,2,6,5,3064,2501,68.4,93.8,0.378,0.304,0.494,43.3,41.7,9.7,7.7,0.444,16.3,26.0,0.277
62,Coppin State,32,9,23,0.281,-14.76,-3.6,4.0,10.0,4,6,5,16,2304,2661,73.1,112.0,0.342,0.414,0.564,57.7,58.5,10.1,9.9,0.532,15.7,35.7,0.247
63,Cornell,28,17,11,0.607,0.63,-2.41,7.0,7.0,11,2,6,8,2287,2129,72.5,104.4,0.299,0.396,0.567,50.0,58.9,8.9,9.8,0.541,19.2,28.6,0.213
64,Creighton,37,24,13,0.649,17.83,9.8,14.0,6.0,13,2,5,6,2828,2531,69.3,98.1,0.197,0.295,0.496,47.3,44.7,8.4,8.2,0.471,12.3,23.5,0.143
65,Dartmouth,28,10,18,0.357,-7.98,-2.52,6.0,8.0,7,5,3,11,1998,2027,70.8,100.9,0.299,0.348,0.532,50.4,44.0,11.7,9.1,0.499,15.4,25.5,0.217
66,Davidson,32,16,16,0.5,1.99,1.47,8.0,10.0,7,8,6,6,2236,2197,66.1,102.6,0.264,0.368,0.53,51.3,48.8,8.9,11.0,0.503,15.2,27.9,0.186
67,Dayton,34,22,12,0.647,8.71,1.09,12.0,6.0,14,2,5,6,2334,2075,63.6,95.3,0.239,0.387,0.48,46.2,48.6,9.0,6.9,0.45,14.0,27.0,0.168
68,Delaware,33,17,16,0.515,-5.57,-3.72,8.0,10.0,10,5,4,10,2298,2333,67.4,104.2,0.29,0.346,0.543,52.4,53.4,9.1,9.2,0.513,16.4,29.6,0.209
69,Delaware State,30,6,24,0.2,-17.7,-4.95,4.0,11.0,4,8,2,14,1939,2265,69.6,107.6,0.381,0.423,0.578,49.8,61.8,11.2,8.9,0.55,17.8,28.3,0.264
70,Denver,32,15,17,0.469,-9.56,-5.89,6.0,12.0,9,5,4,11,2325,2402,69.1,107.0,0.27,0.403,0.546,46.9,51.4,9.6,9.2,0.514,14.0,27.2,0.204
71,DePaul,33,10,23,0.303,2.9,9.03,3.0,17.0,7,8,2,12,2349,2551,69.8,109.0,0.357,0.347,0.55,54.3,51.9,10.2,9.0,0.516,15.2,34.1,0.254
72,Detroit Mercy,33,14,19,0.424,-3.21,-3.61,9.0,11.0,9,5,5,13,2527,2486,67.8,110.2,0.29,0.392,0.566,47.5,52.2,9.5,7.9,0.534,14.9,29.4,0.219
73,Drake,35,27,8,0.771,7.84,-1.14,15.0,5.0,14,1,6,6,2617,2236,67.0,93.3,0.27,0.38,0.495,47.8,43.6,7.7,6.2,0.464,15.7,22.2,0.19
74,Drexel,32,17,15,0.531,-2.27,-5.43,10.0,8.0,12,3,3,9,2135,1997,64.0,95.6,0.24,0.284,0.5,48.4,47.2,8.9,8.0,0.472,16.1,26.9,0.169
75,Duke,36,27,9,0.75,15.83,7.44,14.0,6.0,16,0,4,6,2592,2290,65.5,96.7,0.237,0.356,0.495,44.3,48.5,9.3,9.8,0.46,14.5,26.0,0.181
76,Duquesne,33,20,13,0.606,3.48,-0.16,10.0,8.0,16,4,3,7,2472,2352,69.4,102.8,0.351,0.338,0.537,50.4,52.6,8.5,8.2,0.505,17.8,33.1,0.244
77,East Carolina,33,16,17,0.485,-0.29,1.41,6.0,12.0,10,6,2,9,2271,2327,68.6,102.8,0.331,0.345,0.528,48.5,49.9,9.5,10.5,0.492,15.1,28.9,0.237
78,East Tennessee State,32,12,20,0.375,-6.0,-4.44,8.0,10.0,7,9,4,9,2211,2208,66.7,103.0,0.265,0.428,0.535,48.7,50.6,10.6,6.2,0.505,15.9,29.1,0.194
79,Eastern Illinois,31,9,22,0.29,-14.09,-6.75,5.0,13.0,6,9,3,12,2134,2235,70.7,101.5,0.321,0.426,0.537,52.8,59.3,9.2,8.3,0.507,18.0,31.3,0.224
80,Eastern Kentucky,37,23,14,0.622,-1.47,-1.62,12.0,6.0,14,2,5,10,2909,2720,72.0,100.4,0.257,0.397,0.529,48.1,53.8,8.9,6.7,0.498,17.3,29.0,0.191
81,Eastern Michigan,31,8,23,0.258,-11.05,-1.88,5.0,13.0,6,7,2,13,2239,2505,70.3,114.0,0.35,0.415,0.582,54.1,46.8,8.9,7.1,0.555,15.1,32.5,0.246
82,Eastern Washington,34,23,11,0.676,1.47,-1.62,16.0,2.0,11,2,10,7,2607,2429,68.9,103.6,0.291,0.44,0.532,46.3,49.5,9.3,6.0,0.497,14.4,25.6,0.218
83,Elon,32,8,24,0.25,-12.85,-4.38,6.0,12.0,5,9,3,12,2094,2291,67.0,106.9,0.279,0.451,0.541,51.6,57.2,9.2,9.0,0.514,14.8,29.8,0.198
84,Evansville,32,5,27,0.156,-15.14,-1.54,1.0,19.0,3,10,1,14,1997,2432,69.8,108.9,0.301,0.412,0.588,54.9,57.9,8.3,7.0,0.557,16.9,25.5,0.229
85,Fairfield,31,13,18,0.419,-6.98,-4.51,9.0,11.0,7,6,4,10,2012,2045,64.9,100.3,0.276,0.316,0.517,50.4,43.7,9.0,9.6,0.486,15.5,29.3,0.198
86,Fairleigh Dickinson,37,21,16,0.568,-8.98,-9.83,10.0,6.0,10,5,8,9,2863,2744,69.8,105.1,0.335,0.398,0.574,49.7,56.8,8.2,10.0,0.541,19.2,29.0,0.249
87,Florida,33,16,17,0.485,10.9,8.26,9.0,9.0,10,6,4,7,2351,2264,69.7,98.1,0.292,0.304,0.497,52.7,44.6,9.4,8.5,0.463,15.3,30.7,0.206
88,Florida A&M,29,7,22,0.241,-17.81,-4.99,5.0,13.0,4,7,3,15,1700,2030,66.5,104.9,0.439,0.344,0.534,52.2,50.2,12.3,10.8,0.499,16.0,33.5,0.293
89,Florida Atlantic,39,35,4,0.897,13.92,2.3,18.0,2.0,17,0,11,3,3035,2547,68.5,94.7,0.263,0.349,0.494,45.8,34.8,8.4,6.8,0.459,15.7,25.0,0.193
90,Florida Gulf Coast,32,17,15,0.531,-2.63,-3.08,7.0,11.0,8,5,6,9,2280,2222,66.7,103.4,0.279,0.413,0.531,50.4,50.9,8.5,9.1,0.504,15.3,28.4,0.194
91,Florida International,32,14,18,0.438,-2.71,0.32,8.0,12.0,11,7,3,10,2339,2404,71.0,104.2,0.304,0.401,0.551,54.7,53.3,11.4,9.1,0.518,19.5,36.1,0.225
92,Florida State,32,9,23,0.281,-0.38,6.5,7.0,13.0,5,11,4,7,2219,2439,69.0,110.5,0.309,0.411,0.565,52.9,55.4,7.5,7.5,0.531,14.9,31.5,0.234
93,Fordham,33,25,8,0.758,2.26,-2.14,12.0,6.0,18,2,6,5,2376,2231,70.0,95.9,0.373,0.305,0.515,48.0,48.7,9.1,9.0,0.469,17.1,25.2,0.273
94,Fresno State,31,11,20,0.355,2.6,5.1,6.0,12.0,7,7,4,9,1974,2036,64.0,102.6,0.319,0.375,0.55,51.9,52.6,8.8,9.7,0.513,17.8,27.8,0.241
95,Furman,36,28,8,0.778,4.89,-2.9,15.0,3.0,14,2,8,3,2911,2563,69.4,101.6,0.301,0.35,0.535,48.8,44.5,8.1,8.9,0.505,16.4,27.1,0.213
96,Gardner-Webb,31,15,16,0.484,-3.84,-4.64,10.0,8.0,8,5,6,10,2192,2032,67.5,95.6,0.399,0.377,0.521,47.3,48.4,9.3,7.5,0.477,18.3,24.3,0.286
97,George Mason,33,20,13,0.606,1.73,0.27,11.0,7.0,14,2,4,7,2268,2220,67.6,98.8,0.33,0.351,0.513,47.6,45.4,10.2,8.8,0.479,14.9,24.8,0.228
98,George Washington,32,16,16,0.5,-1.93,-0.61,10.0,8.0,11,6,5,6,2441,2455,69.7,108.1,0.284,0.392,0.541,50.2,51.0,9.9,6.8,0.515,13.5,29.7,0.199
99,Georgetown,32,7,25,0.219,-1.07,7.52,2.0,18.0,5,12,1,11,2225,2500,69.6,111.3,0.244,0.395,0.56,51.0,60.1,11.5,7.2,0.536,13.7,30.0,0.178
100,Georgia,32,16,16,0.5,1.8,4.8,6.0,12.0,13,4,1,10,2193,2289,68.2,104.5,0.289,0.367,0.526,49.8,55.8,9.8,10.7,0.498,14.5,30.5,0.2
101,Georgia Southern,33,17,16,0.515,-3.25,-2.02,9.0,9.0,12,4,3,11,2257,2201,67.6,98.3,0.326,0.375,0.518,49.8,48.7,9.1,6.9,0.484,16.8,26.9,0.229
102,Georgia State,31,10,21,0.323,-6.79,-0.93,3.0,15.0,10,9,0,11,2068,2150,67.8,101.9,0.339,0.344,0.534,48.8,52.2,10.0,9.2,0.497,15.6,28.4,0.245
103,Georgia Tech,33,15,18,0.455,2.08,4.89,6.0,14.0,11,6,3,9,2301,2335,67.6,104.3,0.302,0.352,0.526,51.2,56.2,8.1,9.5,0.494,14.0,30.3,0.215
104,Gonzaga,37,31,6,0.838,18.99,8.04,14.0,2.0,15,1,7,2,3187,2715,71.9,101.8,0.257,0.39,0.539,46.0,46.1,7.2,5.8,0.51,16.3,25.2,0.188
105,Grambling,33,24,9,0.727,-4.03,-8.48,15.0,3.0,11,1,9,6,2276,2054,67.8,91.5,0.398,0.377,0.48,48.6,51.7,10.3,8.0,0.438,18.4,31.5,0.264
106,Grand Canyon,36,24,12,0.667,4.43,1.27,10.0,7.0,14,4,5,5,2706,2421,66.9,99.8,0.32,0.329,0.498,47.9,43.3,8.3,8.2,0.461,13.7,29.3,0.225
107,Green Bay,32,3,29,0.094,-20.3,-3.14,2.0,18.0,2,10,1,17,1898,2447,66.2,115.0,0.316,0.346,0.581,56.4,49.6,11.0,11.2,0.548,14.0,32.4,0.24
108,Hampton,32,8,24,0.25,-15.25,-4.71,5.0,13.0,7,6,1,13,2183,2481,69.9,110.5,0.355,0.371,0.562,53.1,55.0,8.0,9.2,0.534,13.9,30.0,0.245
109,Hartford,28,5,23,0.179,-23.12,-7.96,,,5,10,0,11,1757,1991,66.3,107.3,0.259,0.382,0.555,52.3,58.7,11.0,9.1,0.532,16.0,31.1,0.184
110,Harvard,28,14,14,0.5,-0.71,-2.02,5.0,9.0,5,7,8,6,1914,1858,67.8,97.0,0.249,0.388,0.515,47.1,47.4,10.2,8.7,0.484,16.5,24.9,0.184
111,Hawaii,33,22,11,0.667,2.36,-2.17,13.0,7.0,13,5,6,4,2208,2039,64.9,94.1,0.269,0.263,0.482,47.7,33.4,9.1,9.1,0.444,14.4,26.3,0.199
112,High Point,31,14,17,0.452,-9.88,-5.23,6.0,12.0,10,5,2,11,2312,2392,72.7,106.2,0.337,0.386,0.531,49.9,52.7,9.7,9.4,0.503,14.5,32.0,0.226
113,Hofstra,35,25,10,0.714,4.96,-2.3,16.0,2.0,11,2,11,5,2619,2324,67.6,97.2,0.248,0.364,0.492,52.0,50.6,8.4,8.4,0.463,15.8,31.2,0.172
114,Holy Cross,32,10,22,0.313,-14.27,-6.4,7.0,11.0,6,9,4,11,2136,2324,69.1,104.6,0.274,0.349,0.534,54.3,49.8,10.1,8.4,0.512,15.3,30.5,0.183
115,Houston,37,33,4,0.892,22.2,4.79,17.0,1.0,16,2,11,0,2770,2126,64.8,88.6,0.357,0.435,0.47,44.9,53.1,8.3,6.7,0.427,18.3,27.7,0.246
116,Houston Christian,32,10,22,0.313,-17.18,-6.94,7.0,11.0,8,8,2,13,2482,2658,73.4,112.7,0.319,0.334,0.584,50.5,51.6,10.7,8.5,0.559,15.1,30.0,0.226
117,Howard,35,22,13,0.629,-5.04,-5.14,11.0,3.0,12,2,6,8,2634,2542,71.8,100.8,0.348,0.367,0.538,48.3,47.5,12.2,8.6,0.507,18.6,31.2,0.239
118,Idaho,32,10,22,0.313,-8.7,-3.86,4.0,14.0,6,10,4,11,2335,2332,67.1,107.4,0.313,0.325,0.562,52.1,43.0,8.6,8.6,0.531,15.1,26.8,0.229
119,Idaho State,32,11,21,0.344,-6.56,-2.96,8.0,10.0,7,7,4,12,2213,2272,65.7,105.5,0.351,0.34,0.552,51.8,47.5,8.3,6.6,0.506,15.8,27.4,0.276
120,Illinois,33,20,13,0.606,14.81,7.65,11.0,9.0,15,2,3,7,2452,2216,69.5,95.5,0.301,0.305,0.501,47.2,43.9,9.8,8.2,0.467,16.3,26.7,0.213
121,Illinois State,32,11,21,0.344,-7.38,-3.38,6.0,14.0,8,7,3,9,2127,2255,65.7,105.6,0.34,0.377,0.549,48.7,49.1,10.0,9.8,0.518,14.8,26.7,0.237
122,Illinois-Chicago,32,12,20,0.375,-8.83,-3.12,4.0,16.0,7,8,3,11,2149,2292,69.2,102.6,0.325,0.344,0.539,54.1,55.0,8.7,11.7,0.505,17.2,29.9,0.234
123,Incarnate Word,31,12,19,0.387,-15.06,-8.28,6.0,12.0,7,7,3,12,2194,2290,69.3,105.3,0.327,0.341,0.563,52.7,48.8,10.2,7.4,0.534,18.3,31.6,0.234
124,Indiana,35,23,12,0.657,14.94,8.88,12.0,8.0,15,2,5,7,2616,2404,68.4,100.1,0.298,0.378,0.505,49.0,47.9,9.5,7.4,0.472,14.1,29.0,0.21
125,Indiana State,36,23,13,0.639,4.86,-4.02,13.0,7.0,11,4,7,6,2855,2507,71.2,97.2,0.298,0.355,0.519,48.5,39.9,8.3,10.7,0.483,15.7,22.4,0.218
126,Iona,35,27,8,0.771,7.61,-2.76,17.0,3.0,11,1,8,4,2660,2297,68.8,95.0,0.309,0.346,0.498,49.6,51.6,7.7,6.7,0.463,17.9,30.7,0.218
127,Iowa,33,19,14,0.576,14.08,8.69,11.0,9.0,14,3,4,7,2642,2464,69.6,106.0,0.238,0.323,0.558,48.7,50.9,8.1,8.9,0.533,16.1,27.4,0.178
128,Iowa State,33,19,14,0.576,15.36,10.39,9.0,9.0,13,3,3,8,2231,2067,65.7,94.6,0.408,0.467,0.542,47.5,57.8,10.3,7.8,0.499,22.3,26.5,0.296
129,IUPUI,32,5,27,0.156,-19.0,-5.57,2.0,18.0,4,9,0,15,2089,2456,67.7,112.9,0.345,0.39,0.576,51.1,54.5,12.3,8.3,0.539,14.8,32.1,0.262
130,Jackson State,33,14,19,0.424,-11.36,-5.39,12.0,6.0,7,2,6,14,2232,2429,69.8,104.2,0.339,0.394,0.556,48.9,52.3,11.2,11.1,0.522,17.0,29.2,0.247
131,Jacksonville,29,13,16,0.448,-6.19,-2.54,6.0,12.0,7,6,6,10,1837,1816,62.0,101.0,0.253,0.485,0.514,48.2,54.8,9.5,8.7,0.484,13.6,24.8,0.185
132,Jacksonville State,31,13,18,0.419,-6.67,-2.6,6.0,12.0,9,5,3,12,2166,2178,66.5,105.2,0.284,0.473,0.549,47.1,56.7,9.2,7.8,0.518,15.2,24.9,0.21
133,James Madison,33,22,11,0.667,4.96,-2.31,12.0,6.0,11,3,8,6,2658,2246,72.2,92.8,0.307,0.38,0.51,47.3,47.2,9.8,8.2,0.481,19.9,27.2,0.207
