Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,MP,FG,FGA,FG_Pct,3P,3PA,3P_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,32,15,17,0.469,-3.8,-1.15,10.0,10.0,8,6,5,9,2320,2351,1295,811,1877,0.432,165,484,0.341,533,729,0.731,314,1070,405,253,65,404,634
2,Air Force,31,9,22,0.29,-4.29,1.9,2.0,16.0,4,12,5,8,2051,2243,1250,727,1604,0.453,273,757,0.361,324,475,0.682,225,872,451,202,122,372,541
3,Akron,33,23,10,0.697,3.14,-2.54,13.0,5.0,13,1,7,6,2455,2178,1325,869,1899,0.458,266,806,0.33,451,620,0.727,345,1215,437,190,95,376,548
4,Alabama,32,21,11,0.656,21.15,11.46,13.0,5.0,14,2,5,5,2904,2594,1290,989,2073,0.477,354,969,0.365,572,730,0.784,407,1267,515,232,133,383,636
5,Alabama A&M,33,11,22,0.333,-14.66,-7.57,9.0,9.0,7,5,3,14,2267,2501,1325,753,1806,0.417,139,488,0.285,622,865,0.719,373,1170,344,251,127,534,695
6,Alabama State,32,13,19,0.406,-11.73,-6.86,8.0,10.0,7,5,3,13,2195,2221,1303,772,2087,0.37,223,793,0.281,428,592,0.723,453,1265,345,277,123,361,609
7,Albany (NY),32,13,19,0.406,-6.45,-5.06,5.0,11.0,8,5,5,13,2517,2521,1285,918,2059,0.446,250,757,0.33,431,594,0.726,364,1153,411,266,101,425,621
8,Alcorn State,32,14,18,0.438,-11.57,-5.6,13.0,5.0,7,3,7,14,2300,2477,1285,818,1851,0.442,166,492,0.337,498,699,0.712,360,1086,371,220,56,370,567
9,American,32,16,16,0.5,-8.7,-8.54,10.0,8.0,8,7,8,9,2200,2176,1291,782,1740,0.449,279,794,0.351,355,492,0.722,287,1043,449,186,54,347,527
10,Appalachian State,33,27,6,0.818,6.46,-2.54,16.0,2.0,15,0,8,4,2589,2196,1350,966,2033,0.475,217,647,0.335,440,649,0.678,366,1385,484,205,226,355,429
11,Arizona,33,25,8,0.758,25.4,9.7,15.0,5.0,15,1,7,4,2902,2384,1345,1041,2129,0.489,258,695,0.371,562,782,0.719,437,1407,615,273,115,397,539
12,Arizona State,32,14,18,0.438,4.93,9.9,8.0,12.0,10,5,3,8,2209,2368,1285,791,1901,0.416,215,716,0.3,412,629,0.655,269,1064,385,263,117,335,532
13,Arkansas,33,16,17,0.485,6.43,8.46,6.0,12.0,12,6,2,7,2566,2633,1340,859,1898,0.453,199,625,0.318,649,859,0.756,281,1139,387,198,201,395,655
14,Arkansas State,34,18,16,0.529,0.54,-1.05,11.0,7.0,10,3,5,11,2677,2623,1365,934,2117,0.441,321,921,0.349,488,693,0.704,440,1298,492,190,150,386,600
15,Arkansas-Pine Bluff,31,13,18,0.419,-15.58,-7.62,8.0,10.0,8,6,5,12,2483,2536,1240,813,1821,0.446,337,898,0.375,520,682,0.762,261,1073,467,183,67,413,568
16,Army,32,10,22,0.313,-14.41,-8.67,6.0,12.0,6,11,4,11,1930,2059,1295,707,1747,0.405,252,788,0.32,264,449,0.588,308,1088,401,184,126,389,506
17,Auburn,32,25,7,0.781,23.07,7.63,13.0,5.0,15,1,5,5,2674,2180,1280,927,1957,0.474,261,737,0.354,559,746,0.749,370,1221,578,238,194,333,613
18,Austin Peay,34,19,15,0.559,-5.21,-4.21,10.0,6.0,14,2,4,12,2548,2480,1385,917,2038,0.45,271,739,0.367,443,630,0.703,367,1159,378,240,94,297,598
19,Ball State,31,15,16,0.484,-6.44,-5.68,7.0,11.0,9,7,6,8,2280,2200,1255,769,1726,0.446,232,641,0.362,510,665,0.767,294,1082,385,170,96,374,469
20,Baylor,33,23,10,0.697,20.24,11.43,11.0,7.0,15,2,4,5,2658,2350,1350,913,1890,0.483,279,719,0.388,553,751,0.736,377,1163,490,222,106,399,546
21,Bellarmine,31,8,23,0.258,-11.39,-2.06,4.0,12.0,6,7,2,16,2153,2320,1250,797,1837,0.434,238,698,0.341,321,412,0.779,245,1002,420,164,60,297,486
22,Belmont,33,20,13,0.606,2.95,1.61,12.0,8.0,12,2,6,9,2570,2493,1325,922,1939,0.476,301,811,0.371,425,588,0.723,237,1130,504,248,101,402,511
23,Bethune-Cookman,33,17,16,0.515,-12.16,-9.1,11.0,7.0,11,2,5,11,2394,2381,1335,825,1922,0.429,194,608,0.319,550,728,0.755,347,1111,402,342,112,465,675
24,Binghamton,30,15,15,0.5,-9.1,-5.03,7.0,9.0,10,4,5,11,2163,2167,1210,801,1738,0.461,164,536,0.306,397,595,0.667,313,1156,435,150,113,366,498
25,Boise State,32,22,10,0.688,13.87,7.47,13.0,5.0,13,3,7,3,2426,2161,1290,835,1846,0.452,256,741,0.345,500,680,0.735,365,1190,400,184,77,357,533
26,Boston College,34,19,15,0.559,9.48,7.01,8.0,12.0,10,6,6,6,2535,2451,1370,931,2035,0.457,283,784,0.361,390,520,0.75,318,1198,483,204,120,361,538
27,Boston University,33,16,17,0.485,-9.69,-8.25,10.0,8.0,9,7,7,10,2193,2198,1335,768,1856,0.414,254,763,0.333,403,562,0.717,309,1167,427,216,102,384,571
